,Compound,Date,Negative,Neutral,Positive,Source Account,Text,Tweets Ago
107,-0.4939,Tue Jun 26 20:41:56 +0000 2018,0.176,0.824,0.0,@CBSNews,"Possible explosion, partial collapse reported at hospital in Gatesville, Texas, according to CBS News affiliate… https://t.co/SruV9PapeM",8
108,0.0,Tue Jun 26 20:29:51 +0000 2018,0.0,1.0,0.0,@CBSNews,"Seventeen states, including Washington, New York and California, sued President Trump's administration in an effort… https://t.co/AZPmYQCYc4",9
109,-0.4767,Tue Jun 26 20:12:45 +0000 2018,0.154,0.846,0.0,@CBSNews,"David Lynch believes pro-Trump comments were taken out of context, says president is ""causing suffering and divisio… https://t.co/oK5mRVRKaz",10
110,0.5423,Tue Jun 26 20:03:08 +0000 2018,0.129,0.594,0.277,@CBSNews,"President Trump hands Medal of Honor to World War II veteran Lt. Garlin Conner's widow, who accepted it on his beha… https://t.co/v4Rz5kHvip",11
111,-0.1832,Tue Jun 26 19:54:38 +0000 2018,0.26,0.506,0.234,@CBSNews,"""Lieutenant Connor's courageous actions killed roughly 50 German soldiers, injured 100 more and saved so many Ameri… https://t.co/7YV6ADckiy",12
112,0.34,Tue Jun 26 19:44:04 +0000 2018,0.143,0.625,0.232,@CBSNews,"WATCH NOW: President Trump presents Medal of Honor posthumously to Army 1st Lt. Garlin Conner, a World War II veter… https://t.co/NRjWanaetP",13
113,0.0,Tue Jun 26 19:32:04 +0000 2018,0.0,1.0,0.0,@CBSNews,Restaurants bearing some version of the Red Hen name are trying to distance themselves from the decision by one bus… https://t.co/C2GoDwQWJo,14
114,0.0,Tue Jun 26 19:09:44 +0000 2018,0.0,1.0,0.0,@CBSNews,Flamingo that escaped a Kansas zoo in 2005 has been spotted in Texas https://t.co/kuFqGzK3gS https://t.co/jElF6uQ1CE,15
115,-0.6249,Tue Jun 26 18:35:31 +0000 2018,0.221,0.779,0.0,@CBSNews,"WATCH: A Kangaroo interrupted a soccer game in Australia and when he got tired of being goalie, he decided to loung… https://t.co/P43waOVnS9",16
116,0.0,Tue Jun 26 18:14:38 +0000 2018,0.0,1.0,0.0,@CBSNews,"Buzz Aldrin sues two of his children, alleging misuse of his finances and slander https://t.co/LoBCP0fCDQ https://t.co/N7AyqMRHri",17
117,-0.5859,Tue Jun 26 17:54:32 +0000 2018,0.244,0.688,0.069,@CBSNews,Escort Alix Tichelman describes death of Google executive aboard his yacht https://t.co/xoWNOdPdLx https://t.co/7ecPHQEXad,18
118,-0.6249,Tue Jun 26 17:35:19 +0000 2018,0.221,0.779,0.0,@CBSNews,"WATCH: A Kangaroo interrupted a soccer game in Australia and when he got tired of being goalie, he decided to loung… https://t.co/NQ75I4wrSs",19
119,0.7269,Tue Jun 26 17:33:39 +0000 2018,0.0,0.736,0.264,@CBSNews,"RT @CBSThisMorning: WATCH: Comedian @RealTracyMorgan reflects on his life and sends a heartfelt message to his 6-year-old self.

📺See more…",20
120,-0.6908,Tue Jun 26 17:14:50 +0000 2018,0.363,0.637,0.0,@CBSNews,"Heather Locklear arrested for allegedly battering police officer, emergency personnel https://t.co/zvSO2hWI7h https://t.co/5iNnZ3EsyH",21
121,-0.34,Tue Jun 26 17:05:38 +0000 2018,0.226,0.639,0.135,@CBSNews,"The Supreme Court's ruling ""shows the attacks from the media and the Democrat politicians are wrong, and they turne… https://t.co/jnfo7Co2Jg",22
122,0.5574,Tue Jun 26 17:04:09 +0000 2018,0.0,0.833,0.167,@CBSNews,"WATCH: President Trump attends lunch with congressional lawmakers, where he's expected to weigh in on the Supreme C… https://t.co/FuZbPX3dvG",23
123,0.0,Tue Jun 26 16:54:39 +0000 2018,0.0,1.0,0.0,@CBSNews,"Sean Spicer TV show, ""Sean Spicer's Common Ground,"" in the works https://t.co/bf0s9xNmWa https://t.co/iIo66KxQAX",24
124,0.0,Tue Jun 26 16:34:56 +0000 2018,0.0,1.0,0.0,@CBSNews,"Years ago, a royal helped a couple survive the Holocaust. Today, Prince William met with their descendants.… https://t.co/Zix2KKC3Cy",25
125,0.296,Tue Jun 26 16:14:42 +0000 2018,0.2,0.455,0.345,@CBSNews,"""Jurassic World"" star Chris Pratt surprises charity screening benefitting kids with cancer https://t.co/Q2QERry5TR https://t.co/1HNV3iwoCX",26
126,0.5574,Tue Jun 26 15:30:06 +0000 2018,0.0,0.825,0.175,@CBSNews,WATCH LIVE: The Council on American–Islamic Relations is holding a press conference to react to the Supreme Court's… https://t.co/7yQgYZNFEt,27
127,0.0,Tue Jun 26 15:23:25 +0000 2018,0.0,1.0,0.0,@CBSNews,WATCH: Vice President Mike Pence is meeting with the president of Brazil; the leaders are expected to discuss immig… https://t.co/fk5VSnM0jV,28
128,-0.6705,Tue Jun 26 14:59:35 +0000 2018,0.22,0.78,0.0,@CBSNews,Second shooting at California state park where dad was killed while camping with his young daughters… https://t.co/Xenquvq7S7,29
